Dessert,Ingredients,,,,,,,,,
Carioca,rice flour,,,,,,,,,
Carioca,coconut,,,,,,,,,
Carioca,coconut milk,,,,,,,,,
Carioca,cooking oil,,,,,,,,,
Carioca,brown sugar,,,,,,,,,
Carioca,coconut milk,,,,,,,,,
Ginataang Mais,coconut milk,,,,,,,,,
Ginataang Mais,glutinous rice,,,,,,,,,
Ginataang Mais,sweet corn,,,,,,,,,
Ginataang Mais,white sugar,,,,,,,,,
Pastillas de Leche,powdered milk,,,,,,,,,
Pastillas de Leche,condensed milk,,,,,,,,,
Pastillas de Leche,white sugar,,,,,,,,,
Espasol,rice flour,,,,,,,,,
Espasol,sugar,,,,,,,,,
Espasol,coconut milk,,,,,,,,,
Espasol,coconut,,,,,,,,,
Espasol,vanilla extract,,,,,,,,,
Kutsinta,rice flour,,,,,,,,,
Kutsinta,all purpose flour,,,,,,,,,
Kutsinta,brown sugar,,,,,,,,,
Kutsinta,water,,,,,,,,,
Kutsinta,lye,,,,,,,,,
Kutsinta,anatto seeds,,,,,,,,,
Kamotecue,sweet potato,,,,,,,,,
Kamotecue,brown sugar,,,,,,,,,
Kamotecue,cooking oil,,,,,,,,,
Chocolate Crinkle,all purpose flour,,,,,,,,,
Chocolate Crinkle,cooking oil,,,,,,,,,
Chocolate Crinkle,white sugar,,,,,,,,,
Chocolate Crinkle,eggs,,,,,,,,,
Chocolate Crinkle,vanilla extract,,,,,,,,,
Chocolate Crinkle,chocolate chips,,,,,,,,,
Chocolate Crinkle,cocoa powder,,,,,,,,,
Chocolate Crinkle,salt,,,,,,,,,
Chocolate Crinkle,baking powder,,,,,,,,,
Chocolate Crinkle,powdered sugar,,,,,,,,,
Cathedral Window,gelatin,,,,,,,,,
Cathedral Window,whipped cream,,,,,,,,,
Cathedral Window,pineapple juice,,,,,,,,,
Cathedral Window,condensed milk,,,,,,,,,
Nilupak,cassava,,,,,,,,,
Nilupak,coconut,,,,,,,,,
Nilupak,condensed milk,,,,,,,,,
Nilupak,butter,,,,,,,,,
Nilupak,salt,,,,,,,,,
Buko Ice Candy,coconut,,,,,,,,,
Buko Ice Candy,coconut water,,,,,,,,,
Buko Ice Candy,fresh milk,,,,,,,,,
Buko Ice Candy,condensed milk,,,,,,,,,
Buko Ice Candy,vanilla extract,,,,,,,,,
Bananacue,banana,,,,,,,,,
Bananacue,brown sugar,,,,,,,,,
Bananacue,cooking oil,,,,,,,,,
Suman sa Lihiya,glutinous rice,,,,,,,,,
Suman sa Lihiya,lye,,,,,,,,,
Suman sa Lihiya,water,,,,,,,,,
Suman sa Lihiya,banana leaf,,,,,,,,,
Lengue de Gato,all purpose flour,,,,,,,,,
Lengue de Gato,white sugar,,,,,,,,,
Lengue de Gato,eggs,,,,,,,,,
Lengue de Gato,salt,,,,,,,,,
Lengue de Gato,butter,,,,,,,,,
Lengue de Gato,vanilla extract,,,,,,,,,
Polvoron,all purpose flour,,,,,,,,,
Polvoron,powdered milk,,,,,,,,,
Polvoron,pinipig,,,,,,,,,
Polvoron,butter,,,,,,,,,
Polvoron,white sugar,,,,,,,,,
Pichi-Pichi,cassava,,,,,,,,,
Pichi-Pichi,sugar,,,,,,,,,
Pichi-Pichi,water,,,,,,,,,
Pichi-Pichi,coconut,,,,,,,,,
Pichi-Pichi,lye,,,,,,,,,
Pichi-Pichi,buko pandan essence,,,,,,,,,
Macaroni Salad,macaroni,,,,,,,,,
Macaroni Salad,mayonnaise,,,,,,,,,
Macaroni Salad,condensed milk,,,,,,,,,
Macaroni Salad,all purpose cream,,,,,,,,,
Macaroni Salad,cheese,,,,,,,,,
Macaroni Salad,nata de coco,,,,,,,,,
Macaroni Salad,kaong,,,,,,,,,
Macaroni Salad,fruit cocktail,,,,,,,,,
Fruit Salad,fruit cocktail,,,,,,,,,
Fruit Salad,table cream,,,,,,,,,
Fruit Salad,condensed milk,,,,,,,,,
Fruit Salad,cherries,,,,,,,,,
Buko Salad,coconut,,,,,,,,,
Buko Salad,kaong,,,,,,,,,
Buko Salad,nata de coco,,,,,,,,,
Buko Salad,fruit cocktail,,,,,,,,,
Buko Salad,pineapple,,,,,,,,,
Buko Salad,condensed milk,,,,,,,,,
Buko Salad,table cream,,,,,,,,,
Peanut Brittle,peanuts,,,,,,,,,
Peanut Brittle,white sugar,,,,,,,,,
Peanut Brittle,corn syrup,,,,,,,,,
Peanut Brittle,butter,,,,,,,,,
Peanut Brittle,baking soda,,,,,,,,,
Peanut Brittle,water,,,,,,,,,
Peanut Brittle,salt,,,,,,,,,
Minatamis na Saging,banana,,,,,,,,,
Minatamis na Saging,brown sugar,,,,,,,,,
Minatamis na Saging,water,,,,,,,,,
Minatamis na Saging,vanilla extract,,,,,,,,,
Minatamis na Saging,salt,,,,,,,,,
Egg Pie,all purpose flour,,,,,,,,,
Egg Pie,salt,,,,,,,,,
Egg Pie,butter,,,,,,,,,
Egg Pie,water,,,,,,,,,
Egg Pie,white sugar,,,,,,,,,
Egg Pie,evaporated milk,,,,,,,,,
Egg Pie,eggs,,,,,,,,,
Egg Pie,vanilla extract,,,,,,,,,
Egg Pie,white sugar,,,,,,,,,
Buchi,rice flour,,,,,,,,,
Buchi,water,,,,,,,,,
Buchi,red bean paste,,,,,,,,,
Buchi,sesame seeds,,,,,,,,,
Buchi,cooking oil,,,,,,,,,
Crema de Fruta,all purpose flour,,,,,,,,,
Crema de Fruta,baking powder,,,,,,,,,
Crema de Fruta,eggs,,,,,,,,,
Crema de Fruta,sugar,,,,,,,,,
Crema de Fruta,fruit cocktail,,,,,,,,,
Crema de Fruta,gelatin,,,,,,,,,
Crema de Fruta,fresh milk,,,,,,,,,
Crema de Fruta,butter,,,,,,,,,
Crema de Fruta,vanilla extract,,,,,,,,,
Crema de Fruta,water,,,,,,,,,
